,1,2,3,4
0,12.181320905685425,11.938972234725952,10.746888875961304,11.59206223487854
1,12.32724666595459,11.797477006912231,11.699312210083008,11.532925605773926
2,12.001823902130127,11.783972263336182,12.221758365631104,11.605897665023804
3,11.758170366287231,12.014550685882568,11.47684907913208,11.835747241973877
4,12.108642339706421,11.139318943023682,11.070458173751831,10.469815731048584
5,12.03846025466919,12.001409530639648,12.09041166305542,11.721937656402588
6,12.13411021232605,12.13004207611084,11.61955451965332,11.7831392288208
7,12.321553707122803,10.516231536865234,11.812847137451172,11.826179504394531
8,12.340450286865234,12.304780960083008,12.183955192565918,10.341202974319458
9,12.446908712387085,12.19383430480957,11.917775630950928,11.911869764328003
10,10.718162059783936,11.490685224533081,12.199040174484253,11.385626316070557
11,12.296127080917358,11.204278707504272,12.16781759262085,10.904705286026001
12,11.355898380279541,12.110727548599243,12.118119478225708,11.555379867553711
13,11.337608814239502,11.680799722671509,11.808814764022827,11.185366868972778
14,12.264137506484985,11.969350099563599,10.984897375106812,11.848227977752686
15,12.285563945770264,12.097737789154053,11.334155321121216,11.371562004089355
16,12.264150857925415,11.938961267471313,11.844950675964355,11.670867443084717
17,12.265964269638062,11.841243267059326,11.270586013793945,11.961483716964722
18,9.785478353500366,10.571230173110962,11.931931495666504,11.435058116912842
19,11.306964635848999,11.986225366592407,12.2755868434906,11.829110383987427
